Actual_Silica,Predicted_Silica
3.54,3.1324
1.3,1.3736
2.08,1.6431999999999993
1.45,1.45
2.97,2.9455999999999993
1.18,1.2236
1.57,1.568
5.52,5.519999999999998
2.92,2.4016000000000006
4.9271992597,4.927625663152001
4.5011906231,4.500132510804
4.28,4.28
2.18,2.0288
5.05,5.039599999999998
1.77,1.7748000000000008
3.33,3.324399999999999
1.68,1.6800000000000017
4.9133425798,4.9152898751760015
1.41,1.5316
1.18,1.2147999999999999
2.19,2.189999999999999
1.71,2.7178531575279994
5.06,5.060000000000001
1.01,1.0100000000000007
4.6909708738,4.687672676847998
1.03,2.1728000000000005
2.18,2.180000000000002
3.654036061,3.654016088744001
1.17,1.1696
1.29,1.2923999999999995
2.59,2.590000000000002
1.26,1.2600000000000007
1.46,1.403200000000001
1.33,1.3539999999999992
2.5,2.3627999999999996
1.09,1.0864000000000003
4.9194269871,4.912057670976
3.71,3.7003999999999984
1.26,1.2764000000000006
4.9066759003,4.906481994476
1.02,1.0287999999999997
2.59,2.5900000000000007
1.43,1.4664
4.15,3.946800000000002
1.9,2.0785649970640003
2.14,1.7115999999999998
2.18,2.2023999999999995
4.4538016869,4.459691339232002
1.24,1.2687999999999995
2.8,2.779999999999999
1.39,1.3900000000000003
1.62,2.4528
1.79,2.2447997531359993
2.49,2.466400000000001
1.51,1.4936
4.36,4.360000000000005
3.85,3.801599999999999
1.86,1.7952
4.03,4.006000000000001
3.11,3.110000000000002
2.08,2.1424710124840023
2.88,2.8788
2.51,2.720799999999999
1.59,1.6363999999999999
3.0180886427,3.005857063712
3.16,3.1047999999999996
1.42,1.4080000000000004
1.9,1.9000000000000008
1.24,1.2371999999999996
2.25,2.2396
4.24,4.239999999999999
2.08,2.4759999999999995
2.58,2.5443999999999996
4.19,4.189999999999999
1.21,1.2099999999999997
3.93,4.165600000000003
3.09,2.638800000000001
1.45,1.6643999999999999
1.24,1.239999999999999
1.34,1.3616000000000001
4.8001657459,4.150638674016
4.04,3.351200000000002
1.7,1.7720000000000002
1.74,1.8616
1.24,1.2339999999999993
3.1,2.9252000000000002
3.3993090685,3.424081431220001
1.65,1.7204000000000008
1.83,1.8299999999999992
1.24,1.3959999999999997
1.88,1.8800000000000006
1.19,1.1900000000000255
1.42,1.4160000000000006
0.94,0.9400000000000002
2.72,2.7199999999999993
1.63,1.6588
3.0026062847,3.004475415888
2.85,2.847485082872
1.44,1.4755999999999998
1.65,1.6499999999999992
1.31,1.1991999999999996
1.99,1.9092000000000002
3.17,3.1700000000000013
1.99,1.9900000000000002
2.76,2.8039999999999994
1.87,1.9999999999999998
2.04,2.0047999999999995
5.5,5.345599999999999
2.08,2.079999999999999
2.08,2.0800000000000023
1.51,1.5244000000000006
3.48,3.4372
1.92,1.920000000000001
1.65,1.8179982729120006
3.14,3.14
1.32,1.32
1.07,1.07
5.03,5.030000000000032
1.5,1.6132
2.44,2.9655360030119993
1.71,1.9284000000000003
1.17,1.1700000000000008
0.87,0.87
1.9,1.9000000000000006
3.47,3.4699999999999993
4.38,4.2719999999999985
1.8,1.7999999999999994
1.32,1.32
1.13,1.1455999999999993
1.51,1.5160000000000002
2.08,2.080000000000002
2.68,2.709200000000001
3.64,3.5208
1.26,1.5555999999999996
1.32,1.32
1.21,1.2584000000000004
1.57,1.7108
3.71,2.9867999999999997
2.7407450255,2.8998205545360003
0.94,1.0936000000000003
2.11,2.0043999999999995
1.81,1.8100000000000016
3.32,2.6255999999999995
1.81,1.9272000000000005
2.08,2.306399999999999
